case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,,Conclusion
,,,,"50. The relevant provisions of the Depositories Act, 1996 are also required to be extracted, which read thus:

""2. Definitions.--(1) In this Act, unless the context otherwise requires,
--
(a) ""beneficial owner"" means a person whose name is recorded as such with a depository;
(b) ""Board"" means the Securities and Exchange Board of India established under section 3 of the Securities and Exchange Board of India Act, 1992 (15 of 1992);
(e) ""depository"" means a company formed and registered under the Companies Act, 1956 (1 of 1956) and which has been granted a certificate of registration under sub-section (1A) of section 12 of the Securities and Exchange Board of India Act, 1992 (15 of 1992);
(k) ""regulations"" means the regulations made by the Board; .....
(2) Words and expressions used herein and not defined but defined in the Companies Act, 1956 (1 of 1956) or the Securities Contracts (Regulation) Act, 1956 (42 of 1956) or the Securities and Exchange Board of India Act, 1992 (15 of 1992), shall have the meanings respectively assigned to them in those Acts.
19. Power of Board to give directions in certain cases.--(1) Save as provided in this Act, if after making or causing to be made an enquiry or inspection, the Board is satisfied that it is necessary--

(i) in the interest of investors, or orderly development of securities market; or

(ii) to prevent the affairs of any depository or participant being conducted in the manner detrimental to the interests of investors or securities market, it may issue such directions--

(a) to any depository or participant or any person associated with the securities market; or

(b) to any issuer, as may be appropriate in the interest of investors or the securities",,"61. Thus, the promoter is a person who forms a company to get it going, that is who initiates the scheme for the formation of the company, gets the Memorandum and Articles prepared, executed, and registered, finds the first directors, settles the term of the preliminary contracts and prospectus, and arranges for advertising and circulating the prospectus and placing the capital. The determination of a person's status as a promoter is contingent upon his actual involvement in the formation of the company which is a question of fact. Further, the relationship between the promoter and the company, which is fiduciary, would stand terminated or discontinued when the Board of Directors take into their hands the affairs of the company and start governing the company.",,"(v) issuing commissions for the examination of witnesses or documents.
",,,"sebi-wp-1590-21 24-8-24 final (2).odt he continues to be a promoter, was required to be determined."
,,,,"-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt market.

Explanation.--For the removal of doubts, it is hereby declared that power to issue directions under this section shall include and always be deemed to have been included the power to direct any person, who made profit or averted loss by indulging in any transaction or activity in contravention of the provisions of this Act or regulations made thereunder, to disgorge an amount equivalent to the wrongful gain made or loss averted by such contravention.

(2) Without prejudice to the provisions contained in sub-section (1) and section 19H, the Board may, by order, for reason to be recorded in writing, levy penalty under sections 19A, 19B, 19D, 19E, 19F, 19FA and 19G after holding an inquiry in the prescribed manner. .... ... .. .",,75. These provisions also become significant as it is a contention as urged on behalf of SEBI that the petitioner's demat account is freezed as a penalty for non-compliance of the regulations by the company. It is also SEBI's contention that it is of no consequence whether the petitioner is part of the management of Shrenuj as the same is not the criteria for 5 (1996) 2 SCC 471,,"(2) The manner of revocation of actions specified in clauses
",,,"83. Thus looked from any angle, under none of the provisions of law and regulations, the impugned action of the respondent to freeze the petitioner's demat account can be sustained."
,,,,"19G. Penalty for contravention where no separate penalty has been provided.--Whoever fails to comply with any provision of this Act, the rules or the regulations or bye-laws made or directions issued by the Board thereunder for which no separate penalty has been provided, shall be liable to a penalty which shall not be less than one lakh rupees but which may extend to one crore rupees.",,"95. The petitioner has contended that his father is a practicing gynecologist with about 40 years of practice and even if he was to be branded as a 'promoter' of Shrenuj, merely because of his investments into his father in law's company as a shareholder, his father was never a promoter or director of the listed entity. It is in these circumstances, the petitioner had prayed for defreezing of his demat account.",,"If listed entity fails to pay any fine imposed on it within such period as specified from time to time, by the recognised stock exchange(s), after a notice in writing has been served on it, the stock exchange may initiate action.

",,,"84. For the aforesaid reasons, in our opinion, the freezing of the petitioner's demat account qua all the shares held by him was unwarranted, unjustified and in patent defiance of the principles of natural justice and brazenly illegal."
,,,,"(3) The Board may call for and examine the record of any proceedings under this section and if it considers that the order passed by the adjudicating officer is erroneous to the extent it is not in the interests of

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt the securities market, it may, after making or causing to be made such inquiry as it deems necessary, pass an order enhancing the quantum of penalty, if the circumstances of the case so justify:

Provided that no such order shall be passed unless the person concerned has been given an opportunity of being heard in the matter:
Provided further that nothing contained in this sub-section shall be applicable after an expiry of a period of three months from the date of the order passed by the adjudicating officer or disposal of the appeal under section 23A, whichever is earlier.""",,,,"102. Power to relax strict enforcement of the regulations. (1) The Board may in the interest of investors and securities market and for the development of the securities market, relax the strict enforcement of any requirement of these regulations, if the Board is satisfied that:

(a) any provision of Act(s), Rule(s), regulation(s) under which the listed entity is established or is governed by, is required to be given precedence to; or
(b) the requirement may cause undue hardship to investors; or
(c) the disclosure requirement is not relevant for a particular industry or class of listed entities; or
(d) the requirement is technical in nature; or
(e) the non-compliance is caused due to factors affecting a class of entities but being beyond the control of the entities.
(1A) The Board may after due consideration of the interest of the investors and the securities market and for the development of the securities market, relax the strict enforcement of any of the requirements of these regulations, if an application is made by the Central Government in relation to its strategic disinvestment in a listed entity.",,,sebi-wp-1590-21 24-8-24 final (2).odt and cannot be permitted to happen in the manner respondents in the present case have resorted in such casual approach.
,,,,"51. The provisions of the SEBI (Delisting of Equity shares )Regulations 2009 also need to be noted which reads thus :-
""23. Rights of public shareholders in case of a compulsory delisting:
(1) Where equity shares of a company are delisted by a recognised stock exchange under this Chapter, the recognised stock exchange shall appoint an independent valuer or valuers who shall determine the fair value of the delisted equity shares. (2) The recognised stock exchange shall form a panel of expert valuers from whom the valuer or valuers shall be appointed for purposes of sub-regulation (1).
(3) The promoter of the company shall acquire delisted equity shares from the public shareholders by paying them the value determined by the valuer, subject to their option of retaining their shares. Explanation: For the purposes of sub-regulation (1), -
(a) 'valuer' means a chartered accountant within the meaning of clause (b) of section 2 of the Chartered Accountants Act, 1949 (38 of 1949), who has undergone peer review as specified by the Institute of Chartered Accountants of India constituted under that Act, or a merchant banker appointed to determine the value of the delisted equity shares;
(b) value of the delisted equity shares shall be determined by the valuer having regard to the factors mentioned in regulation 15.",,,,"19H. Power to adjudicate.--(1) For the purpose of adjudging under sections 19A, 19B, 19C, 19D, 19E, 19F, 19FA and 19G, the Board may appoint any officer not below the rank of a Division Chief of the Securities and Exchange Board of India to be an adjudicating officer for holding an inquiry in the prescribed manner after giving any person concerned a reasonable opportunity of being heard for the purpose of imposing any penalty.
",,,"86. In the light of the aforesaid discussion, the petition needs to succeed. It is accordingly allowed in terms of the following order:

ORDER
(i) The freezing of the demat account of the petitioner pursuant to the impugned communciations dated 23 March, 2017 (Exhibit ""C""), 13 April, 2017(Exhibit 'D' & 'E') ,8 August 2018 (Exhibit 'L') is declared to be illegal and invalid;
(ii) The petitioner shall be free to deal with all his shares as held in the Demat accounts in question.
(iii) The SEBI/BSE/NSE are directed to jointly pay to the petitioner cost of Rs.30 lakhs within a period of two weeks from today.
(iv) In regard to the petitioner's contention on the amounts of penalty/fine not being deposited in the Consolidated Fund of India, inter alia considering the provisions of Section 15JA of SEBI Act, Section 23K of the SCR Act and Section 19J of the Depositories Act, it is for the appropriate Ministry of Government of India to look into these issues and in the context of the observations as made by us hereinabove. In the event, the Government of India is of the"
,,,,"24. Consequences of compulsory delisting:

Where a company has been compulsorily delisted under this Chapter, the company, its whole time directors, its promoters and the companies which are promoted by any of them shall not directly or indirectly access the securities market or seek listing for any equity shares for a period of ten years from the date of such delisting.
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt Recognised stock exchanges to monitor compliance.
29. The respective recognised stock exchanges shall comply with and monitor compliance with the provisions of these regulations and shall report to the Board any instance of non-compliance which comes to their notice.""",,,,"sebi-wp-1590-21 24-8-24 final (2).odt can be seen that the action to freeze the holdings of the promoter/promoter group can apply only to those holdings of the promoter in the listed company that has violated the SEBI (LODR) Regulations. Hence, the action of freezing other shareholdings of the petitioner cannot be justified. The same is ex facie illegal, unjust and completely arbitrary.
",,,"sebi-wp-1590-21 24-8-24 final (2).odt opinion that such funds which need to be deposited in the Consolidated Fund of India, it is for the Government of India to take appropriate action. We leave such issue to be considered by the Government of India at the appropriate level."
,,,,"52. On a plain reading of the relevant provisions of the SEBI Act as noted above, we do not find any explicit provisions that the SEBI would have a power to attach the demat account of the promoter much less qua the securities he would hold of companies other than the one of which he is a promoter. Further, none of the provisions postulate such drastic order to be passed against the promoter which is in the nature of a penalty without even a notice being furnished to him. Further, on a perusal of Regulation 98(1)(c) & (d) of the SEBI (LODR) Regulations 2015, it clearly provides that listed entity or any other person thereof, who contravenes any of the provisions of the regulations, shall be held liable by the respective stock exchange(s) for actions such as imposition of fines, suspension of trading, ""freezing of promoter/promoter group holding"", of designated securities, as may be applicable, in coordination with depositories or any other action as may be specified by the Board from time to time. Clause (2) of regulation 98 provides that the manner of revocation of actions specified in clauses (b) and (c) of sub-regulation (1), shall be as specified in circulars or guidelines issued by the Board.",,,,"54. We may also observe that the SEBI's contention referring to Regulation 98 of the SEBI (LODR) Regulations, being applicable so as to justify the freezing of the petitioner's demat account also cannot be accepted. This for the reason that we are not shown any primary obligation as fixed on the promoters and that too at a stage after almost 29 years of the formation of the company (Shrenuj), that the promoter nonetheless, would have certain obligations to be discharged under the Act and/or the Regulations. In our opinion, unless such basic obligation is statutorily fastened on the promoter, Regulation 98 cannot be applied in vacuum and moreso considering the facts and circumstances of the present case.
",,,"(v) Having regard to our discussion and conclusion, we keep open all issues of law on the challenge raised by the petitioner to the legality of the statutory regulations."
,,,,"55. The object of SEBI (LODR) Regulation primarily concerns the listing obligations and a disclosure requirement to be complied by a company. In the present case, the company was formed in the year 1989, and after all statutory compliances, it was listed on the Bombay Stock",,,,"sebi-wp-1590-21 24-8-24 final (2).odt Exchange. We are not shown any material that the petitioner did not cease to have any role, after the company was formed and/or till it defaulted under the said Regulation although it was managed by the Board of Directors. None of the respondents have showed any active role of the petitioner in the capacity of the promoter, in the management of the company and any role and obligation factually fastened on the petitioner in the various compliance which are required to be undertaken under the SEBI (LODR) Regulations, at the time of the freezing of his demat accounts. It is, therefore, difficult to accept that the listing obligations as postulated under the SEBI (LODR) Regulations were at all applicable qua the petitioner, so as to apply Regulation 98(1)(c) in freezing the demat account of the petitioner. We may observe that in the circumstances in hand when a basic obligation under the Regulations itself is not conferred on the promoter of the nature petitioner is, there could not have been a corresponding duty and a consequent default, attributable for any action to be taken under Regulation 98.
",,,(vi) The petition stands allowed in the aforesaid terms.
,,,,"56. As we are dealing with the freezing of the demat accounts of the promoter, it would be relevant to consider the definition of the word 'promoter' as defined under clause (za) of Regulation 2 of the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2009 which is extracted hereunder:

-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt ""(za) ""promoter"" includes:
(i) the person or persons who are in control of the issuer;
(ii) the person or persons who are instrumental in the formulation of a plan or programme pursuant to which specified securities are offered to public;
(iii) the person or persons named in the offer document as promoters:
Provided that a director or officer of the issuer or a person, if acting as such merely in his professional capacity, shall not be deemed as a promoter:
Provided further that a financial institution, scheduled bank, foreign portfolio investor other than Category III foreign portfolio investor and mutual fund shall not be deemed to be a promoter merely by virtue of the fact that ten per cent. or more of the equity share capital of the issuer is held by such person;
Provided further that such financial institution, scheduled bank and foreign portfolio investor other than Category III foreign portfolio investor shall be treated as promoter for the subsidiaries or companies promoted by them or for the mutual fund sponsored by them.""",,,,".... The status of a promoter is generally terminated when the Board of directors has been formed and they start governing the company.""
",,,Writ Petition No. 2228 of 2021 (Neil Pradeep Mehta vs. UOI & Ors.)
,,,,"57. It would also be necessary to examine the definition of ""promoter"" as defined in the Companies Act, 2013, which read thus:

2(69) ""promoter"" means a person --
(a) who has been named as such in a prospectus or is identified by the company in the annual return referred to in section 92; or
(b) who has control over the affairs of the company, directly or indirectly whether as a shareholder, director or otherwise; or
(c) in accordance with whose advice, directions or instructions the Board of Directors of the company is accustomed to act:
Provided that nothing in sub-clause (c) shall apply to a person who is acting merely in a professional capacity;
(emphasis supplied)
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt",,,,"63. We are of the opinion that the above principles would necessarily apply when any action under the SEBI Act or Regulations framed thereunder is being taken against any promoter. This would necessarily involve robust evidence to be available and considered in regard to the role of the promoter not only qua the company but also whether any active role of the promoter exists qua the shareholders at large and whether the fiduciary capacity in which the promoter is required to discharge his role in formation of a company, would still bind him for various compliances, under the SEBI Regulations or it would be the liability of the company managed by the Board of Directors for achieving all the compliances, which are necessary to protect the interest of the investors who subscribe to the shares of a company. If there is no consideration and examination of such essential attributes before taking any action against the promoters, it would certainly lead to a serious prejudice and / or even a gross absurdity, rendering any action of penalty or freezing of any demat account of a promoter, as in the present case to be grossly arbitrary and illegal.
",,,"88. In this petition, the petitioner is the son of Dr. Pradeep Mehta, the petitioner in the aforesaid Writ Petition, whose petition has been allowed in terms of our aforesaid judgment/order."
,,,,"58. Thus, clause (a) of Section 2(69) of the Companies Act, 2013 refers to a de jure position, where a person is expressly named in a prospectus or is identified by the company as a promoter in the annual return referred to in Section 92. Clause (b) and (c) describes a de facto position where a promoter is a person who has control over the affairs of the company, directly or indirectly, whether as a shareholder, director or otherwise; clause (c) provides that the Board of Directors of the company is accustomed to act in accordance with the advice, directions or instructions of such person. Proviso to section 2(69) (supra) ordains that the provisions of sub-clause (c) shall not apply to a person who is acting merely in a professional capacity.",,,,"Now, what are the facts here? As I have indicated the question of promotion only applies to the first respondent. It is said that he must be deemed to have taken part in the formation of the Company and to be a promoter because he signed the Memorandum and Articles of Association and subscribed for 100 shares. There is no evidence showing that he took any part in discussing the formation of the Company or in taking any steps to bring the Company into being, apart from the fact that he signed the Memorandum of Association and paid for 100 shares. It is not even suggested that he had anything to do with the drawing up of the Memorandum and Articles of Association. There is no suggestion that the first respondent had anything to do with the selection of the Directors or the settlement of any contract, except the contract under which his firm was to act as brokers. After the Company had been formed and had started business the first respondent's firm induced certain people to subscribe for shares, but it is not alleged that they did anything before the Company was launched. The minimum subscription was fixed at 500 shares and the signatories to the Memorandum of Association themselves subscribed for 1200 shares . In the Memorandum of Association the only persons referred to as promoters are V.K. Lakshmana Mudaliar and J.W. Samuel. It comes to this. The Court is asked to hold the first respondent to be a promoter because his signature appears at the foot of the Memorandum and he took 100 shares of the 1200 initially subscribed. This is a contention which I am unable to accept. The law requires that there shall be seven signatories to the Memorandum of Association of a public Company. A person who
",,,"89. In our opinion, this is a gross case and more particularly considering that the petitioner in this petition was not the promoter of Shrenuj and merely for the reason that he held a demat account along with his father Dr. Pradeep Mehta, who was the second holder. The demat account of the petitioner has been freezed by the impugned order."
,,,,"59. Section 92 of the Companies Act provides for filing of the annual return. Thus, assuming that the SEBI/BES/NSE intends to justify its action to take the petitioner as the promoter, it has to look into the last annual return filed by Shrenuj and its declaration qua the promoters as per the requirement of Section 92(1)(e). It cannot take a recourse to what was the position when the company was formed, i.e., in the year 1989. It was necessary for the SEBI/NSDL to look into the last return as filed by the company which in the present case would be of the year 2014 to 2016 which is of the period just prior to the default by Shrenuj. By no stretch of imagination, the first promoters of the company who might have severed",,,,"sebi-wp-1590-21 24-8-24 final (2).odt has taken no part in the formation or promotion of the Company may be asked to sign the Memorandum as a subscriber for one or more shares, and this usually happens. It was mentioned in the course of the argument that the money subscribed by the first respondent for his 100 shares was utilised in defraying part of the expenses of forming the Company. That may be, but it was a matter which concerned the directors. The application of the money which the first respondent paid for his shares was a matter over which he had no control, and the fact that the money was utilised in paying the expenses of formation, cannot make him a promoter. The agreement with the respondents was an agreement which conscientious directors ought never to have entered into and in doing so the directors deliberately exceeded their powers. But this, of course, has nothing to do with the question whether the first respondent is to be deemed to be a person who took part in the formation and promotion of the Company. For the reasons indicated it must he held that the Official Liquidator was not entitled to take out a summons against the first respondent on the ground that he was a promoter.""
",,,sebi-wp-1590-21 24-8-24 final (2).odt
,,,,"60. We may also examine the role of promoter insofar as the company law is concerned. In such context, we may usefully refer to the views of the learned author A. Ramaiya in his celebrated work ""Guide to the Companies Act"" 18th Ed. Vol. 1, when on the role of the promoter, is described as under :-

The term is not one of law but familiar to the business world. It points to a person who forms a company and gets it going. It indicates 'a person who originates the scheme for the formation of the company, has the Memorandum and Articles prepared, executed and registered, and finds the first directors, settles the term of the preliminary contracts and prospectus (if any) and makes arrangement for advertising and circulating the prospectus and placing the capital, is emphatically a promoter in the fullest sense'. He controls the formation and future of the company, and it is this control which lies at the root of the fiduciary relation of the promoter to the company. Nor is he less a promoter if all or most of these activities are performed nominally by a company which he controls.
.......
The question whether a person is or is not a promoter is a question of fact, depending upon what he really did in connection with the formation of the company. [ Lydney and Wigpool Iron Ore Co. v. Bird, (1886) 33 Ch D 85] .......
A person cannot become a promoter merely because he signed the memorandum as a subscriber for one or more shares.[ Official Liquidator v. VeluMudaliar, (1938) 8 Com Cases 7 : AIR 1938 Mad 192] ....But persons who act in a professional capacity such as counsels, solicitors, accountants, engineers or other technicians, will not become promoters by reason of so acting, unless they exceed their professional function and do anything or take any interest in promoting the company.
.......
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt ... The relationship between the promoter and the company that he has floated must be deemed to be a fiduciary relationship from the day the work of floating the company started CIT v. Bijli Cotton Mills Ltd., (1953) 23 Com Cases 114, 120 : AIR 1953 All 232 and continued upto the time that the directors take into their hands what remains to be done in the way of forming the company, Twycross v. Grant, (1877) 2 CPD 469, 541 (CA) and when there is no question open between the promoter and the company Eden v. Rids Dales Rly. Lamp & Lighting Co. Ltd, (1889) 23 QBD 368 (CA).",,,,"65. Thus, applying such settled position in the context of the present case, the petitioner, a practicing gyneacologist, did not exceed his professional position, to take interest in the formation of Shrenuj or to promote or manage its day-to-day affairs. Also, after the incorporation of the company and constitution of the Board of Directors, the status and role of the petitioner as a promoter had come to an end. Hence, the obligation of non-submission of Financial Results and non-compliance with the provisions of SEBI (LODR) Regulations could not have been fastened and imposed on the petitioner.
",,,"90. The relevant facts in relation to this petition need to be noted:

The petitioner is a non-resident Indian currently residing in Singapore. He is also an angel investor investing in promising start-ups in India. In 2014, petitioner opened a NRO account and a demat account through HDFC Bank Ltd. and for logistical reasons of a local address and mobile number, the bank suggested adding the petitioner's father - Dr. Pradeep Mehta as a second holder to his Demat account."
,,,,"62. We may refer to the decision of the Chancery Division in Lydney and Wigpool Iron Ore Co. Vs. Bird 1 which was a case in regard to the 1 (L.R.)33 Ch.D. 85

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt formation of a company and the allegations of a secret commission being received by a person alleged to be a promoter. While examining the correctness of the judgment rendered by the trial Court, in appeal it was held that whether a person is a promoter or not is a question of fact, and it would depend on the evidence, referring to the decision in Emma Silver Mining Company V. Grant.2 The Chancery Division considering the evidence on record held that a person against whom such allegations of misusing the position as a promoter was made (namely J. Bird in the said case) was in fact not the promoter of the company but was an agent of one M/s. Allaway who was a party desirous to prevent a sale of the property which had applied through its Solicitors one Bird & Co., who were iron merchants in the city of London, to render them the assistance of which J. Bird was one of the partners and who had suggested several schemes and one of the schemes being formation of a company to purchase the property. The observations of Lindley, L.J. which are of signifcance in the context of the role of the promoter qua a company read thus:

""Moreover, to say that James Bird was a promoter of the company and therefore liable to account to it, is calculated to mislead; for the word 'promoter' is ambiguous, and it is necessary to ascertain in each case what the so-called promoter really did before his legal liabilities can be accurately ascertained, and that in every case it is better to look at the facts and ascertain and describe them as they are.""
(emphasis supplied) 2 11 Ch.D. 918",,,,"66. Now coming to the impugned action of freezing of the demat accounts of the petitioner on the basis of SEBI Circular No.SEBI/HO/CFD/DCR/CIR/P/2016/81 dated 07 September 2016 and
",,,92. The petitioner contends that the petitioner's advocate addressed two
,,,,"64. In C. Thiruvenkatachariar, Official Liquidator of the National Live Stock Registration Bank Ltd. (in liquidation) vs. A.T. Velu Mudaliar and Anr.3, one of the questions which the Court was considering was whether the first respondent - A.T. Velu Mudaliar can be deemed to be a promoter. 3 AIR 1938 Mad 192

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt Referring to the decision in Twycross V. Grant4, the Court observed that Cockburn C. J. defined the word ""promoter"" as being one who undertakes to form a Company with reference to a given project, and to set it going, and to take the necessary steps to accomplish that purpose. It was observed that other definitions have been given by the learned Judges from time to time, but it is impossible to define accurately what is meant by the word ""promoter"". The Court also discussed the difficulty as pointed out by the learned author of ""Palmer's Company Precedents"", to observe that each case must be decided according to the evidence. It was observed that a person who has not taken part in the formation or promotion of the company may be asked to sign the Memorandum as a subscriber for one or more shares, and as usually happens, would not make him a promoter. The following observations of the Chief Justice Leach are required to be noted which read thus:

"" I will first discuss the question whether the first respondent can be deemed to be a promoter. InTwycross v. Grant (1877)2 C.P.D. 469, Cockburn C.J. defined the word ""promoter"" as being one who undertakes to form a Company with reference to a given project, and to set it going, and to take the necessary steps to accomplish that purpose. Other definitions have been given by the learned Judges from time to time, but it is impossible to define accurately what is meant by the word ""promoter"". The difficulty is discussed at length by the learned author of Palmer's Company Precedents at pages 103 to
109. After referring to a number of the more prominent cases, the learned author observes at page 106:
"" It is obvious, therefore, that a person who originates the scheme for the formation of the Company, has the memorandum and articles prepared, executed and registered, and finds the first directors, settles the
4 (1877)2 C.P.D. 469",,,,"sebi-wp-1590-21 24-8-24 final (2).odt complying with the basic principles of natural justice. No show cause notice or a prior opportunity of a hearing was granted to the petitioner before the letters dated 23 March 2017 and 13 April 2017 were addressed to the SHCIL by NDSL, freezing not only the petitioner's shares in Shrenuj but also the other shareholding of the petitioner in ITC Limited. For such reason also, the impugned action on the part of NSDL is required to be held to be brazenly illegal, unreasonable and arbitrary.
",,,94. BSE replied to such letter of the petitioner by an e-mail dated 24
,,,,"But a person who has done much less than this--takes a much less prominent part--may bring himself within the meaning of the term and may be held liable as a promoter.""

Each case must be decided according to the evidence. If it is clear that the persons charged were merely servants or agents of the promoters or servants or agents of the Company, they cannot be classified as promoters, and in this connection the learned author makes mention of brokers, bankers and solicitors. Of course, brokers, bankers and solicitors could put themselves in the position of being promoters, but in order to do so they would have to travel outside their ordinary spheres.",,,,"70. The circular can only be recognized if it is validly issued, when the law would permit issuance of a circular qua its contents. The SEBI (LODR) Regulations do not confer any power with SEBI to issue a circular to freeze the demat account and shareholdings of the promoters
",,,
,,,,"66. Now coming to the impugned action of freezing of the demat accounts of the petitioner on the basis of SEBI Circular No.SEBI/HO/CFD/DCR/CIR/P/2016/81 dated 07 September 2016 and

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt SEBI/HO/CFD/CMD/CIR/P/2016/116 dated 26 October 2016, in the context in hand, it may be necessary to extract these circulars, which reads thus:

""CIRCULAR SEBI/HO/CFD/DCR/CIR/P/2016/81 September 07, 2016 To All Listed Entities All Registered Registrar & Share Transfer Agents All Depositories All Recognised Stock Exchanges Dear Sir/Madam, Sub: Restrictions on Promoters and Whole - Time Directors of Compulsorily Delisted Companies Pending Fulfillment of Exit Offers to the Shareholders
1. In terms of section 21A of the Securities Contracts (Regulation) Act, 1956 (SCR Act) read with rule 21 of the Securities Contracts (Regulation) Rules, 1957 and Chapter V of Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009 (""Delisting Regulations""), a recognised stock exchange may compulsorily delist the equity shares of a listed company on certain grounds.
2. In terms of Regulation 24 of the Delisting Regulations, the company which has been compulsorily delisted, its whole-time directors, its promoters and the companies promoted by any such person, shall not directly or indirectly access the securities markets for a period of ten years from the date of compulsory delisting.
3. Sub-regulation (3) of regulation 23 of the Delisting Regulations provides that pursuant to compulsory delisting of a company, the promoter shall acquire delisted equity shares from the public shareholders, subject to their option of retaining their equity shares, by paying them the fair value, as dete rmined by the independent valuer appointed by the concerned recognised stock exchange.
4. In addition to the restriction imposed under Regulation 24 of the Delisting Regulations, in order to ensure effective enforcement of exit option to the public shareholders in case of compulsory delisting and taking into account the interests of investors, it is felt necessary to strengthen the regulatory mechanism in this regard. Accordingly, it is hereby directed that in
-------------------------",,,,"72. There is another facet which also needs to be commented that the freezing of the petitioner's demat account as set out in the reply affidavit filed on behalf of SEBI, is regarded inter alia to be in the nature of a penalty/fine, as also seen from the letter dated 2 March 2017 (supra), addressed by the BSE to Shrenuj, and it is for defalut of Shrenuj, the petitioner is being penalised by the impugned action. Insofar as the applicability of the principles of law is concerned, it would not make much difference as to whether what is sought to be recovered from the petitioner is penalty or fine. The reason for this being that a penalty would include fine. A categorical stand is taken on behalf of the SEBI/BSE that a penalty / fine being imposed on Shrenuj is sought to be recovered by the impugned action of the freezing of the petitioner's demat account. It would be appropriate to note the jurisprudential meaning attributed to the terms 'penalty' and 'fine' and in the present context. We may usefully refer to the following extract from Advanced Law Lexicon of P. Ramanatha Aiyar, 3rd Edition, when the learned author distinguished fine from penalty.

""DISTINGUISHED FROM ""penalty"". In its broadest sense ""penalty"" includes fines, as well as all other kinds of punishment. (Esselink v. Campbell, 4 lowa. 296.) DISTINGUISHED FROM FORFEITURE, ""A fine is pecuniary penalty,"" while ""a forfeiture is a penalty by which one loses his rights and interests in his property."" (Esselink v. Campbell, 4 lowa, 296, 300,)1""",,,"96. We may observe that surprisingly the stand of the respondents - SEBI, BSE and NSE is not different from what is taken in the aforesaid writ petition of his father Dr. Mehta. In fact, the reply affidavits are"
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt case of such companies whose fair value is positive: -
a. such a company and the depositories shall not effect transfer, by way of sale, pledge, etc., of any of the equity shares and corporate benefits like dividend, rights, bonus shares, split, etc. shall be frozen, for all the equity shares, held by the promoters / promoter group till the promoters of such company provide an exit option to the public shareholders in compliance with sub-regulation (3) of regulation 23 of the Delisting Regulations, as certified by the concerned recognized stock exchange;
b. the promoters and whole-time directors of the compulsorily delisted company shall also not be eligible to become directors of any listed company till the exit option as stated at 4.a. above is provided.
5. For the aforesaid purposes, ""compulsorily delisted company""",,,,"76. If that be so, any action to impose/levy a penalty can be resorted after following due procedure in law as the nature of the action itself is a penalty. It is well settled that a penalty cannot be imposed, unless the procedure known to law is followed, namely, issuance of show cause notice, inviting reply on show cause notice and thereafter an opportunity of hearing being accorded and a final decision is taken, if law permits in
",,,sebi-wp-1590-21 24-8-24 final (2).odt identical to the first petition.
,,,,"7. This circular is issued in exercise of powers conferred under section 11 (1) of the Securities and Exchange Board of India Act, 1992 to protect the interests of investors in securities and to promote the development of, and to regulate the securities markets.

8. A copy of this circular is available on SEBI website at www.sebi.gov.in under the category ""Legal Framework/Circulars.

Yours faithfully, Amit Tandon Deputy General Manager Division of Corporate Restructuring Corporation Finance Department +91-22-26449373 amitt@sebi.gov.in""

(emphasis supplied)
----------------------------**************------------------------",,,,"sebi-wp-1590-21 24-8-24 final (2).odt case of penalty. The present case has wholly discarded any of such norms of legitimacy which is required to be followed in passing an order to freeze the demat account of the petitioner. If it is in the nature of penalty or even a fine, a procedure known to law is required to be followed. Even otherwise, if there were some other powers (there appear to be none ) nonetheless it was incumbent on the SEBI/NSDL to follow the due procedure in compliance with the principles of natural justice and only thereafter take a decision to freeze the demat account of the petitioner.
",,,"99. On the face of it, it is evident that the petitioner in no manner"
