case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,Conclusion
,,,,"72. Dr. Tulzapurkar has submitted that Section 33(1) does not efface or make Section 30 redundant. An owner's right to monetise his copyright through licensing is not taken away at all, it is merely regulated by Section 33(1). Such regulation is perfectly permissible when done by way of statute. In fact, Section 34(3) expressly preserves the right of licensing available under Section 30.
",,,,,,
,,,,"73. Dr. Tulzapurkar has submitted that the First Proviso to Section 33(1) does not come to the aid of PPL and Novex because (I) it applies only to members of a Copyright Society; (ii) Assuming the First Proviso applies to non members, even then PPL and Novex are not covered as they do not issue licenses in their ""individual capacity"" or in respect of their ""own works"".
",,,,,,
,,,,"75. Dr. Tulzapurkar has further submitted that the Second Proviso to Section 33(1) has no relevance to the present matter. It was brought in by way of amendment in 2012 to correspond to the changes made to Section 18 to protect owners of underlying works. It does not impact Section 33(1), which has been on the statute books since 1994.
",,,,,,
,,,,"76. Dr. Tulzapurkar has submitted that the Division Bench of this Court in PPL vs. Avion Hospitality Pvt. Ltd.10, disposed off the appeals against a set of ad-interim orders by clarifying that the Defendant may raise ""appropriate contentions including raising the issue of maintainability of the Suits at the instance of the present Plaintiff.""
",,,,,,
,,,,"Plaintiff's advocate in respect of the alleged infringement at page no. 76 of the plaint in Suit No. 157 of 2023.
",,,,,,
,,,,"78. Mr. Tulzapurkar has submitted that all the ad-interim orders obtained by PPL and Novex in the matters under consideration were limited to directing the Defendants to deposit the license fees in court if they wanted to play the sound recordings or directing the Defendants to take a license from PPL and Novex on a without prejudice basis. Neither did PPL/Novex seek nor did the Court grant them an injunction simplicitor.
",,,,,,
,,,,"79. Dr. Tulzapurkar has submitted that argument of PPL and Novex runs contrary to the well-settled principle of ex turpi causa non oritur actio or ex dolo malo non oritur actio i.e., a Plaintiff cannot find his cause of action on an illegal act or amounts to transgression of a positive law. This principle finds its modern origins in the classic passage of Lord Mansfield C.J. in the 1775 case of Holman vs. Johnson: He has submitted that this passage has been cited with approval by the Supreme Court and High Courts in several cases where the plaintiff's cause of action emanated out of an illegal act.
",,,,,,
,,,,"80. Dr. Tulzapurkar has submitted that the Supreme Court in ""Narayanamma & Anr. Vs. Govindappa & Ors"".11 has recently reviewed the entire law on ex turpi causa, including Lord Mansfield's seminal passage, and reiterated that if the plaintiff's cause of action 11 [(2019) 19 SCC 42] varsha 48 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc is based on an illegality, it will not grant any relief to the plaintiff, even if the defendant is guilty.
",,,,,,
,,,,"81. Dr. Tulzapurkar has submitted that the decision relied upon by PPL and Novex namely the English Supreme Court's decision in ""Patel v Mirza""12 to counter the above does little to assist the Plaintiffs. The said decision actually supports the Defendants' case as it makes clear that ex turpi causa is indeed a valid defence and that courts must examine the underlying purpose of the prohibition and the public policy involved.
",,,,,,
,,,,"82. Dr. Tulzapurkar has submitted that the Plaintiffs reliance on Gurumukh Singh v Amar Singh [(1991) 3 SCC 79] is also misplaced. The said case dealt with an allegation that the object of the contract was harmful to public policy. There was no contravention of any law involved. In the instant case, however, the Plaintiff's actions are in direct contravention of Section 33(1) of the Copyright Act. As per the law laid by the Supreme Court, it would be impermissible to grant relief to such a plaintiff.
",,,,,,
,,,,"85. Dr. Tulzapurkar has submitted that similar is the case with Novex namely that they carrying on business of issuing / granting licenses. This is apparent from Clauses 1, 4 and 11 of the Memorandum of Association of Novex which makes it clear that the varsha 50 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc main object of Novex is to carry on business of granting licenses. Further, Novex's Annual Report for the year ended 31 st March, 2022 which clearly shows that Novex's principal activity is granting public performance licenses. Further, Novex's website while referring to public performance rights states ""Novex is engaged in the business of giving public performance rights in sound recordings"". Further, a holistic reading of the purported Assignment Deed dated August 11, 2015 executed with Zee Entertainment Enterprises Ltd. clearly shows that Novex is in fact engaged in the business of issuing licenses.

",,,,,,
,,,,"86. Dr. Tulzapurkar has thereafter, referred to the definition of ""copyright business"" in Rule 2(c) of the Copyright Rules, 2013 namely ""business of issuing or granting licence in respect of any class of works in which copyright or any other right conferred by the Act subsists, and includes the functions referred to in sub-section (3) of section 34"". He has submitted that the legislature has consciously chosen to define this term widely and has not excluded the business of licensing carried out by owners.",,,,,,
,,,,"87. Dr. Tulzapurkar has placed reliance upon the decisions of Courts on what is meant by ""business"" or ""carrying on business"", which are as under:-

i) 'Smith vs. Anderson' 13
ii) 'Bata Shoe Co. Ltd. vs. Union of India''14 13 [1879 Vol. XV Ch. Div. (CA) 247] 14 [AIR 1954 Bom. 129] varsha 51 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc
iii)'Sri Gajalakshmi Ginning Factory Ltd. vs. Commissioner of Income Tax' 15
iv) 'Barendra Prasad Ray vs. Income Tax Officer' 16
v) 'State of Tamil Nadu vs. Board of Trustees of the Port of Madras' 17.",,,,,,
,,,,"vi) 'State of Andhra Pradesh vs. H. Bakhi' 18.
",,,,,,
,,,,"vii) 'State of Gujarat vs. M/s. Raipur Manufacturing Co. Ltd.' 19.
",,,,,,
,,,,"88. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon ""S Mohan Lal v R Kondiah 20"" and ""P K Kesavan Nair v C K Babu Naidu 21"" to contend that the word ""business"" should be interpreted as per context. However, reference to these cases does not assist PPL and Novex in any manner. There is no justifiable reason given by PPL and Novex to discard the definition of 'business' in the Copyright Rules namely Rule 2(c) of the Copyright Rules, 2013. Further, PPL and Novex have not denied that they indeed carry on business. Their own documents as aforesaid clearly show that PPL and Novex are in the business of licensing.",,,,,,
,,,,"89. Dr. Tulzapurkar has submitted that PPL and Novex have based their argument on an incorrect assumption that an assignment from the original owner takes them out of the regulatory ambit of 15 [AIR 1953 Mad 343] 16 [(1981) 2 SCC 693] 17 [(1999) 4 SCC 630] 18 [AIR 1965 SC 531] 19 [AIR 1967 SC 1066] 20 [(1979) 2 SCC 616] 21 [1953 SCC OnLine Mad 368] varsha 52 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Chapter VII of the Copyright Act and Chapter XI of the Copyright Rules.
",,,,,,
,,,,"91. Dr. Tulzapurkar has submitted that there is nothing to suggest that this ""contract"" or ""agreement"" referred to in Section 34 and Rule 54 excludes an agreement of assignment. The trigger for regulation is the nature of the activity, i.e., business of licensing, and not the mode of acquisition of the right to carry on such business.
",,,,,,
,,,,"92. Dr. Tulzapurkar has submitted that there is no conflict between Section 30 and Section 33(1). Alternatively, assuming without conceding there is any conflict, even then Section 33(1) would prevail over Section 30. Section 30 is a general provision that deals with an owner's general right to license his copyright. Section 33, on the other hand, is part of Chapter VII of the Copyright Act, which is a special provision and self-contained chapter that elaborately governs the business of granting and issuing licenses. Moreover, the present Section 33 is a latter provision that was brought in by way of an amendment in 1994. Thus, the legislature had notice of Section 30 when it enacted Section 33(1).
",,,,,,
,,,,"93. Dr. Tulzapurkar has submitted that it is well settled law that the general law must yield to the special law. The Supreme Court in a catena of cases has reiterated this well settled Latin maxim ""generalia specialibus non derogant"". In ""Commercial Tax Officer, Rajasthan vs. Binani Cements Ltd. & Anr."" 22, the Supreme Court exhaustively reviewed the judicial precedents on the subject and noted that this principle is applicable not only amongst two statutes but also finds utility in resolving a conflict between a general and specific provision of the same statute. Further, it is also an accepted principle of interpretation that in case of conflict between two provisions of the same statute, the latter provision will prevail over the former. See K.M. Nanavati vs The State of Bombay 23 and In Re: W. G. Ambekar24. He has further submitted that both above principles are squarely applicable to the facts of the present case and would mandate that Section 33(1) must prevail over Section 30.
",,,,,,
,,,,"94. Dr. Tulzapurkar has submitted that it is now well accepted that copyright law is not designed for protecting the interest of owners alone. It is intended to balance the rights of the owners with the rights of end users. He has placed reliance upon Article 27 of the Universal Declaration of Human Rights where this principle finds its origins. This is also noted by P. Narayanan in Law of Copyright and Industrial Designs 4th Edition where Article 27 is reproduced. Further, ""Copinger and Skone & James on Copyright"" 25 22 [(2014) 8 SCC 319] 23 [AIR 1961 SC 112] 24 [MANU/MH/0148/1952] 25 (15th Edition) varsha 54 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc explains the rationale for copyright societies (also known as collecting societies). The author notes that collecting societies benefit rights owners and users alike, and in principle operates for the benefit of the public.
",,,,,,
,,,,"95. Dr. Tulzapurkar has submitted that India is not alone in regulating the business of collective administration of copyright. Among common law countries, the UK has adopted the 'Collective Management of Copyright (EU Directive) Regulations 2016.' Singapore too has an entire chapter on the subject in Part 9 of its Copyright Act, 2021. Thus, given the strong public interest involved in the collective administration of copyrights, governmental regulation of such business is commonplace across jurisdictions.
",,,,,,
,,,,"97. Dr. Tulzapurkar has placed reliance upon the decision of the Supreme Court in ""Entertainment Network (India) Ltd. vs. Super Cassette Industries Ltd"". 27 wherein the Supreme Court has noted that the provisions of Chapter VII of the Copyright Act serve the dual objective of having copyright societies, i.e., to maintain a balance between the protection of owners' rights and interest of the public to have access to the works.
",,,,,,
,,,,"98. Dr. Tulzapurkar has submitted that the expansive words of Section 33(1), i.e., ""no person or association of persons shall commence or carry on the business of issuing or granting licenses""

clearly underline the intention of the legislature that business of 26 [(1984) 2 SCC 183] 27 [(2008) 13 SCC 30] varsha 56 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc issuing licenses can only be undertaken by a registered copyright society. These words are required to be construed in the context of its use in the Copyright Act and Rules which require that: (i) such business can be carried on only by a registered copyright society; (ii) such society is regulated by the Government; and (iii) there is only one society for one category of work. Thus, allowing PPL to carry on the business of licensing without registration would result in escaping the intended regulation and would be contrary to the scheme and object of Chapter VII of the Copyright Act.",,,,,,
,,,,"99. Dr. Tulzapurkar has submitted that if the Plaintiff's argument is accepted and an assignee/owner is permitted to carry on the business of issuing licenses without registration, then Section 33 itself would be rendered redundant and nugatory. This would be contrary to the clear intention of the legislature to regulate the business of licensing, even if the business is carried out by an assignee/owner. Since only an owner (which term includes an assignee) can issue licenses, it is quite obvious that the intent of Section 33(1) was to regulate owners of copyright who can potentially carry on the business of licensing. Thus, there is no logical basis in the Plaintiffs' argument that Section 33(1) applies to persons other than owners. He has submitted that the law intends that there must be a single copyright society for one class of work to ensure a single window for end-users.
",,,,,,
,,,,"b. In ""Ameer Trading Corporation Ltd. vs. Shapoorji Data Processing Ltd"".29 the Supreme Court reiterated that the Heydon's Rule or Mischief Rule must be applied to suppress the mischief that was intended to be remedied, especially when Parliament has consciously made an amendment to the law.
",,,,,,
,,,,"c. In ""S. Mohan Lal vs. R. Kondiah"" 30 it was held that the expressions used in the Act must take their colour from the context in which they appear.
",,,,,,
,,,,"d. In ""Badshah vs. Urmila Badshah Godse""31 the Supreme Court relied on the Heydon Rule to hold that courts must avoid a construction that ""would reduce the legislation to futility and should accept the bolder construction based on the view that Parliament would legislate only for the purpose of bringing an effective result"".


28       [(2004) 7 SCC 68]
29       [(2004) 1 SCC 702]
30       [(1979) 2 SCC 616]
31       [(2014) 1 SCC 188]",,,,,,
,,,,"101. In ""District Mining Officer vs. Tata Iron & Steel Co. & Anr.""32 the Supreme Court explained that legislation is primarily directed to the problems before the legislature and to cover similar problems arising in future. Thus, the legislative intent is to be derived by considering the words in the enactment "" in light of any discernable purpose or object which comprehends the mischief and its remedy to which the enactment is directed"".
",,,,,,
,,,,"102. Dr. Tulzapurkar has submitted that Chapter VII of the Copyright Act requires that the business of licensing be carried on in a particular manner. The Plaintiffs cannot be permitted to circumvent the entire regulatory regime and carry on the business of licensing in a manner other than what is prescribed by law. This would go against the well accepted rule laid down in ""Taylor vs Taylor Taylor"" 33 that if the law requires something to be done in a particular manner, it must be done only in that manner or not at all. He has referred to the decision of the ""Nazir Ahmad vs. The King- Emperor"" 34 and State of ""Uttar Pradesh vs. Singhara Singh"" 35, which follows the Taylor Rule.
",,,,,,
,,,,"103. Dr. Tulzapurkar has submitted that the principles of construction propounded by PPL and Novex are misconceived and not applicable to instant case. He has submitted that the decisions relied upon by them in support of ""harmonious construction"" would 32 [(2001) 7 SCC 358] 33 [(1875) Vol.1Ch.D 426] 34 [1936 LXIII Indian Appeals 372] 35 [(1964) 4 SCR 485] varsha 59 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc require the court to read down Section 33(1) such that ""owners"" are excluded from the word ""persons"". This is contrary to the plain language used in Section 33(1) of the Act. Further, harmonious construction applies only if there is an ambiguity in the language of the statute and cannot be used if the language is clear. In the present case, the language of Section 33(1) is plain and unambiguous. Hence, it would be impermissible to ignore the rule of literal interpretation and apply the rule of ""harmonious construction""

instead.
104. Dr. Tulzapurkar has submitted that Section 33(1) does not take away the general rights of owners to license their works. On the contrary, it retains and preserves that right but only regulates the manner in which the business of licensing is to be carried on. Thus, all that Section 33(1) requires is that if an owner wishes to carry on the business of licensing, he must do it in the legally mandated manner, i.e., through a registered copyright society.
105. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon the decisions in ""Union of India vs. Dileep Kumar Singh""36 to contend that the court must give precedence to the leading provision over the subordinate provision. However, this case too is inapplicable in the present situation. PPL and Novex have been unable to explain how Section 30 is a leading provision and Section 33 is a subordinate provision. On the contrary, the two operate in separate fields altogether.
",,,,,,
,,,,"36 [(2015) 4 SCC 421] varsha 60 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc
",,,,,,
,,,,"106. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon decisions in support of their contention that absurd or unintended results of interpretation should be avoided. In the instant case, there is no ambiguity in the language of Section 33(1). There is no absurdity or unintended consequence by adhering to the plain meaning of Section 33(1).
",,,,,,
,,,,"107. Dr. Tulzapurkar has submitted that constant refrain of PPL and Novex was that giving literal interpretation to Section 33(1) would lead to ""effacement"" of Section 30 and take away the right of an owner to monetise his copyright is completely incorrect.
",,,,,,
,,,,"108. Dr. Tulzapurkar has submitted that Section 33 does not take away an owner's right to license for commercial purposes. All that Section 33 postulates is that the business of licensing should be carried out in a regulated manner by registration under the Copyright Act. If an owner wishes to carry on business, he has to either be registered as a copyright society himself or must carry on the activity through a copyright society. Quite contrary to the Plaintiffs' submission, Section 33(1) would be effaced if the Plaintiffs' submissions are accepted. Since only an owner can issue licenses, exclusion of an owner from its purview would render Section 33(1) completely meaningless and redundant.
",,,,,,
,,,,"iii) Person grants licenses in respect of his ""own works""; iv) the grant is ""consistent with his obligations as a member of the registered society"".
",,,,,,
,,,,"110. Dr. Tulzapurkar has placed reliance upon the decision of the Supreme Court in ""Dwarka Prasad vs. Dwarkadas Saraf"" 37 wherein it is held that a proviso does not travel beyond the main provision. Further, in ""Delhi Metro Rail Corporation Limited vs. Tarun Pal Singh and Ors"" 38 the Supreme Court went on to explain that a proviso cannot be interpreted as stating a general rule. He has submitted that there is nothing exceptional in the language or scheme of Section 33(1) or the first proviso to suggest that the proviso warrants a deviation from the general rule of interpretation. It cannot therefore be construed as creating an independent right in favour of the Plaintiff beyond the main enacting section.
",,,,,,
,,,,"112. Dr. Tulzapurkar has submitted that the contention of PPL and Novex that copyright societies are ""agencies"" or administrators of rights does not take that case any further. The decision of the Supreme Court's in ""Entertainment Network and Delhi High Court's decision in Lizard Lounge"" (Supra) relied upon by PPL and Novex in this context deal with the question whether business of licensing can be carried out by an owner without registration. Further, Section 33 requires a particular activity, i.e., business of licensing, to be done only by regulated entity/through a regulated entity.
",,,,,,
,,,,"113. Dr. Tulzapurkar has submitted that the contention of PPL and Novex that the authorization granted to a copyright society can be withdrawn by an owner under Section 34(1)(b) would suggest that it is not mandatory for an owner to carry on business only 39 [(2008) 13 SCC 30] varsha 63 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc through a society ought to be rejected. All that Section 34(1)(b) says is that an owner is not perpetually bound to be a member of a copyright society and the section enables him to withdraw from a collective management system should he choose to. This is a voluntary act. Once he withdraws, he is in the same position as any other person who is not a member of a copyright society. He can exercise all rights under Section 14 and also issue a license under Section 30 in an individual capacity. But he cannot carry on the business of licensing. If he wishes to recommence the business of licensing, he has to once again join a registered copyright society.
",,,,,,
,,,,"114. Dr. Tulzapurkar has submitted that argument canvassed by PPL and Novex was that Section 31 provides for compulsory licensing. Thus, there is no need to regulate owners who carry on the business of licensing by requiring them to register as copyright societies is wholly fallacious and an incorrect reading of Section 31. Compulsory licensing is a completely different concept from regulation of the business of licensing carried on by copyright societies. He has submitted that Section 31 (1) (a) does not allow a user to challenge a Tarriff Scheme, whereas under Section 33 A this is allowed to a user. Further under Section 31, compulsory license can only be granted to a person whom the board/court finds ""qualified"" to receive a license. There is no such restriction under Section 33A. A decision for compulsory licensing under Section 31 creates a right in rem only in favour of the complainant/prospective licensee. On the other hand, an appeal under Section 33A results in modification of the Tariff Scheme for the public at large. Merely varsha 64 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc because the Copyright Act provides two remedies for two different scenarios, it cannot mean that one of the remedies available in law should be given a complete go-by to.
",,,,,,
,,,,"118. Dr. Tulzapurkar has submitted that the main section 33(1) and the First Proviso have been in the statute since the 1994 varsha 65 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Amendments. The Second Proviso was brought in only in 2012. This is relevant because the 2012 Amendment Act also amended Section 18(1) and added provisos therein which prohibited authors of underlying works from assigning or waiving the right to receive royalties except to their legal heirs or copyright societies. Thus, it was necessary to make corresponding clarificatory changes to Section 33(1).
",,,,,,
,,,,"119. Dr. Tulzapurkar has placed reliance upon the decision of the Madras High Court in ""Novex Communications (P) Ltd. Vs DXC Technology (P) Ltd"". (Supra). He has submitted that the Madras High Court extensively considered all issues relating to Section 33 including the arguments raised by the Plaintiffs in the instant matter. He has submitted that the Madras High Court has correctly holds that Section 33 distinguishes between granting licenses in an individual capacity and carrying on the business of licensing. The Court holds that ""once the grant of license moves from the owner in his individual capacity and transcends into the realm of a business ""

Section 33(1) applies. On this basis, the Court concluded that since Novex was statutorily barred from issuing licenses, the very substratum for the relief sought by Novex must crumble like a pack of cards.",,,,,,
,,,,"120. Dr. Tulzapurkar has submitted that this Court be pleased to answer the aforementioned issue in favour of Defendants and dismiss the Plaintiffs' Interim Applications.
",,,,,,
,,,,"123. Mr. Narula has submitted that in interpreting any statute, the role of the Court is to give effect to the will of the legislature. Where ambiguities exist, the Courts, no doubt, have the power to take recourse to external and internal aids to construe a provision in line with the intention of the legislature. Having examined the background leading to the Copyright (Amendment) Act, 2012, in view of Section 33(1) and its second proviso, the business of granting or issuing licenses in respect of any work in which copyright subsists, can be undertaken only through a copyright society registered under Section 33(3) of the Act.
",,,,,,
,,,,"124. Mr. Narula has submitted that the second Proviso to Section 33(1) and proviso to Section 33 (3A), being the consequence and effect of the amendments to Section 17, 18 and 19 read with Section 30A, provides that the business of issuing or granting licence (being collection and distribution) of sound recording or cinematograph film, which comprises of the non- assignable and non-waivable rights in literary and musical work ""shall be carried out only through a copyright society duly registered under this Act"".
",,,,,,
,,,,"130. Mr. Shenoy has submitted that Section 33(1) of the Copyright Act provides that no person or association of persons shall ""commence or, carry on the business of issuing or granting licenses"". It is necessary for this Court to give meaning to what is meant by the ""business of issuing or granting licenses"".He has submitted that these words are used by the Legislature to mean the ""Collective Administration of Copyright"". The same is borne out of the varsha 70 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc statement and objects and reasons of the Copyright (Amendment) Act, 1992 as well as Clause 11 of Notes on Clause. Further, the title/ heading of Chapter VII is ""Copyright Societies"".
",,,,,,
,,,,"132. Having considered the submissions, for determining the issue that arises in the above suits viz. whether the plaintiff is entitled to seek reliefs sought for in the plaint without being registered as a copyright society under section 33(1) of the Act, it would be necessary to refer to certain provisions of the Act. In the present case, that PPL and Novex have been partially assigned the copyright under the Sound Recording Agreements i.e. to communicate the sound recordings to the public.
",,,,,,
,,,,"133. Section 14 of the Act defines a copyright to mean the exclusive right to reproduce a literary, dramatic or musical work in any material form including storing by electronic means; to make copies of such a work; to perform it in public and in the case of a sound recording it includes the right to sell or give on commercial rentals or to communicate the sound recording to the public. Further, 'Owner' of Copyright is provided in Chapter IV of the Act. As submitted by Mr. Khambata, Ownership of copyright can be acquired in 4 broad ways including through an assignment under Sections 18 & 19 of the Act which is relevant in the present case. These confer varsha 71 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc full and absolute ownership on the author/owner/assignee, as the case may be.
",,,,,,
,,,,"134. Further Section 18(2) of the Act provides as under :

""where the assignee of a copyright becomes entitled to any right comprised in the copyright, the assignee as respects the rights so assigned, and the assignor as respects the rights not assigned, shall be treated for the purposes of this Act as the owner of copyright and the provisions of this Act shall have effect accordingly"".",,,,,,
,,,,"135. Whereas Section 18 (1) of the Act specifically recognizes the owner's right to assign his copyright either wholly or partially, to any person. This is a substantive right which has been provided to an owner under the Act and can be exercised without restrictions except as provided in the section.
",,,,,,
,,,,"136. Thus, in my view a partial assignment created as in the present case in favour of PPL and Novex i.e. to communicate sound recording to the public, to the extent of the right so created, the assignee is an 'owner' of the copyright in the work.
",,,,,,
,,,,"137. PPL and Novex as assignees/owners of copyright license their work under section 30 of the Act. This Section falls under Chapter VI of the Act and reads as under:

""30. Licences by owners of copyright.:-The owner of the copyright in any existing work or the prospective owner of the copyright in any future work may grant any interest in the right by licence in writing by him or by his duly authorised agent:
Provided that in the case of a licence relating to copyright in any future work, the licence shall take effect only when the work comes into existence.
Explanation.-- Where a person to whom a licence relating to copyright in any future work is granted under this section dies before the work comes into existence, his legal representatives shall, in the absence of any provision to the contrary in the licence, be entitled to the benefit of the licence"".",,,,,,
,,,,"138. Thus, Section 30 of the Act is the source, which gives an ""owner"" of a copyright who may be an assignee, the power to grant any interest in the copyright by license. Further, Section 30 also specifically empowers a ""duly authorized agent"" of the varsha 73 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owner, to grant license. Thus, it follows that PPL and Novex as owners/assignees have the power to grant any interest in the copyright by license which would include the interest of communicating the sound recordings to the public.
",,,,,,
,,,,"139. Now turning to the scope and object of the 1994 Amendment which added Chapter VII and in particular sections 33 to 36 in the Act. Clause 11 of the Notes on Clauses reads as follows:

""This clause seeks to substitute new provisions for Chapter VII to make provision for copyright societies in respect of any kind of right (and not merely ""performer's rights"") and to make adequate general provision for the registration and management of such societies in the interests both of authors and of other copyright owners for whom it would be impractical or uneconomical to licence the use of their work individually to all users,...""",,,,,,
,,,,"140. Thus, from a reading of Clause 11 of the Notes on Clauses Sections 33 to 36 have been introduced as part of Chapter VII for promoting the collective administration of rights through copyright societies, both for the benefit of the owner as well as the general public. These societies, on an ""authorization"" from the varsha 74 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owners could administer rights that were either licensed and/or assigned to them. A copyright Society fundamentally operates to administer rights in respect of works that belong to ""others"".
",,,,,,
,,,,"141. In my view, by its very nature, a copyright society may wear two hats i.e. (i) as an authorized agent and (ii) as an assignee. It administers the rights of ""owners"" by operating as an agent. It is necessary to note that under section 34 of the Act and in particular Section 34 (1) (b) it is provided that an owner will have the right to withdraw authorization given to the copyright society. This also shows that an author or other owner/assignee does not have to carry on the business of licensing his works only through a copyright society. Since, once an owner withdraws its authorization from a copyright society, the owner can independently exercise his rights under Section 30 of the Act to grant licenses as he deems appropriate. It could never have been the intention of the legislature that once an author/owner withdraws the authorization from a copyright society then that work cannot be licensed by anyone especially an owner. Such an interpretation would undermine the public interest in making available the copyrighted work to members of the public. In any event the provisions of Section 31, 31A-D would continue to operate to bind all owners to grant compulsory and statutory licenses even after withdrawal of authorization under Section 34(1)(b).
",,,,,,
,,,,"142. Thus it is clear that the 1994 Amendment which introduced these provisions was brought in to protect and facilitate varsha 75 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc the exercise of ""owner's"" rights, not to restrict or diminish them in any way.
",,,,,,
,,,,"143. The other relevant provision namely Section 34(3) of the Act clarifies that a copyright society is licensing the works of an ""owner"" under section 30. This means that a copyright society is licensing the works of the ""owner"" as a duly authorized agent under Section 30. Therefore, this is not a new right created in favour of a copyright society independent of the owner or independent of it being a duly authorized agent. Section 35(1) of the Act provides that ""Every copyright society shall be subject to the collective control of the owners of rights under this Act whose rights it administers ..."". Thus, both Sections 34 and 35 draw a clear distinction between the author/ owner of the right on the one hand and the administrator of that right on the other (i.e. the copyright society).
",,,,,,
,,,,"144. The decision relied upon by Mr. Khambata on behalf of Novex namely ""Entertainment Network India Ltd. v. Super Cassette Industries Ltd"" (Supra) is apposite. The Supreme Court has held that Chapter VII was incorporated into the Act so as to enable an author to commercially exploit his intellectual property through a Copyright Society. The Supreme Court holds that as per the Section 34 of the Act, a Copyright Society is a virtual agent authorized to act on behalf of the owner. Paragraph 66 of the said decision reads as under:

""66. ...It may, however, be of some importance to note that Chapter VII deals with Copyright society, the concept whereof was incorporated in the Act so varsha 76 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc as to enable an author to commercially exploit his intellectual property by a widespread dispersal in a regulated manner. It for all intent and purport steps into the shoes of the author. The society grants license on behalf of the author, it files litigation on his behalf, both for the purpose of enforcement as also protection of the enforcement of his right. It not only pays royalty to the author but is entitled to distribute the amount collected by it amongst its members. Section 34 providing for administration of rights of owners by a copyright society for all intent and purport creates a virtual agency so as to enable the society to act on behalf of the owner..."".",,,,,,
,,,,"146. This is further made clear by Delhi High Court in ""Phonographic Performance Ltd. vs Lizard Lounge & Ors"". (supra) which has also been relied upon by Mr. Khambata on behalf of Novex. The Delhi High Court has held thus:

""the owner continues to simultaneously have rights to deal with his Copyright in the work...
varsha                                                                           77 of 87




 Varsha                                                  COMP-264-2022 AND COMP-363-2019 final.doc


25.....The Copyright Society is an agent appointed under the agreement by the owner of the Copyright and specific powers have been conferred on the agent to institute legal proceedings. However, this does not denuding the author of its own individual rights"".
",,,,,,
,,,,"147. The function of a Copyright Society has been highlighted by Copinger at Page 1540 which has been relied upon by Mr. Khambata for Novex, wherein copyright society is referred to as a collecting society. Collecting societies provide a service to enable rights owners to enforce and administer certain of their copyrights effectively and cheaply, and secondly to provide a service to users by facilitating access to copyright works and making it possible for users to comply with their obligations under the law to obtain licences for the use of copyright works. Advantages of collecting societies has also been mentioned. Collecting societies are practically, economically and legally both viable and essential: Practically, because copyright owners cannot be in an indefinite number of places at the same time exercising individual rights. Further, ""collecting administration bodies provide the best available mechanism for licensing and administering copyrights and is to be encouraged wherever individual licensing is not practicable. They represent the best means of protecting the rights owners' interests"", enabling copyright owners to license and monitor the use of their works, to collect and distribute together and to bring varsha 78 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc actions for infringement. At the same time, they facilitate access to copyright protected works for the consumer and minimize the number of persons with whom users must negotiate licensing contracts.
",,,,,,
,,,,"148. I am of the considered view that Section 33 (1) of the Act cannot curtail the power of the owner to grant any interest in the copyright by license under Section 30 of the Act. This provision has not at all being denuded by the 1994 Amendment, which has brought in Chapter VII in the Act.
",,,,,,
,,,,"149. I do not find any merit in the interpretation placed by the Defendant that ""no person"" in Section 33(1) includes an ""owner"" of copyright and therefore even an ""owner"" of copyright cannot commence or carry on the business of granting copyright licenses. If such interpretation is accepted, Section 33(1) of the Act would take way the power of owner and / or the right of the owner to grant any interest in the copyright by license. This would emasculate right of the owner under Section 30. This was not contemplated by the Parliament by way of the 1994 Amendment Act. In my view, Chapter VII which deals with copyright society is operating in a different field than that of Chapter VI which is the source for granting of licenses by the owner of copyright.
",,,,,,
